person_id,name,birth_date,death_date,birth_month,birth_day,death_month,death_day,age_at_death_days,age_at_death_years,gender,occupation,birthday_distance,decade
Q3658142,Kwee Tek Hoay,1886-07-31,1951-07-04,7,31,7,4,23713,64.9,male,,-27,1950.0
Q136749975,Muhammad Salahuddin,1889-07-14,1951-07-11,7,14,7,11,22641,62.0,male,,-3,1950.0
Q12515997,Sosro Kartono,1877-04-10,1952-02-08,4,10,2,8,27331,74.8,male,,-62,1950.0
Q28724535,Mohammad Saleh,1888-03-15,1952-03-02,3,15,3,2,23362,64.0,,,-13,1950.0
Q49251541,Maimun Saleh,1929-05-14,1952-08-01,5,14,8,1,8480,23.2,,,79,1950.0
Q6492661,Kusumah Atmaja,1898-09-08,1952-08-11,9,8,8,11,19695,53.9,male,,-28,1950.0
Q15998304,Tan Boen Soan,1905-06-25,1952-08-12,6,25,8,12,17215,47.1,male,,48,1950.0
Q132176575,Saleh Lateng,1862-03-07,1952-08-20,3,7,8,20,33038,90.5,,,166,1950.0
Q12502557,Pandji Soerachman Tjokroadisoerjo,1894-08-30,1952-11-16,8,30,11,16,21262,58.2,male,,78,1950.0
Q19749246,Wondoamiseno,1891-08-18,1952-12-11,8,18,12,11,22395,61.3,male,,115,1950.0
Q49248508,Eduard Ernst Pelamonia,1911-01-28,1953-02-09,1,28,2,9,15353,42.0,male,,12,1950.0
Q85990574,Darma Setiawan,1911-09-03,1953-03-07,9,3,3,7,15161,41.5,male,,-180,1950.0
Q981398,Wahid Hasyim,1914-06-01,1953-04-19,6,1,4,19,14202,38.9,male,,-43,1950.0
Q101068116,Fatimah Hasan Delais,1915-06-13,1953-05-08,6,13,5,8,13844,37.9,female,,-36,1950.0
Q135457435,Tjakraningrat XII,1886-11-09,1953-07-06,11,9,7,6,24345,66.7,male,,-126,1950.0
Q16163184,Adam B.B.,1889-08-31,1953-07-15,8,31,7,15,23328,63.9,male,,-47,1950.0
Q139563901,Vater Dendakusumah,1895-08-20,1953-11-06,8,20,11,6,21262,58.2,male,,78,1950.0
Q12487266,Jan Wolters,1893-03-26,1954-08-14,3,26,8,14,22420,61.4,male,,141,1950.0
Q112046143,Mochran bin Hadji Ali,1908-03-31,1954-09-02,3,31,9,2,16956,46.4,male,,155,1950.0
Q112057659,Helmuth Kunum,1915-03-15,1954-09-02,3,15,9,2,14416,39.5,male,,171,1950.0
Q118629,Agus Salim,1884-10-08,1954-11-04,10,8,11,4,25593,70.1,male,,27,1950.0
Q9097601,Bagoes Hadikoesoemo,1890-11-24,1954-11-04,11,24,11,4,23355,63.9,male,,-20,1950.0
Q123058262,Abdoel Madjid Usman,1907-05-26,1955-05-25,5,26,5,25,17531,48.0,male,,-1,1950.0
Q65945439,Sidik Djojosukarto,1908-06-07,1955-09-08,6,7,9,8,17259,47.3,male,,93,1950.0
Q85995368,Zainal Ilmi al-Banjari,1886-12-03,1956-06-21,12,3,6,21,25402,69.5,male,,-165,1950.0
Q78573901,Sastromoeljono,1898-10-16,1956-06-28,10,16,6,28,21074,57.7,male,,-110,1950.0
Q31173139,Sutan Soripada Mulia,1896-12-26,1956-08-29,12,26,8,29,21795,59.7,,,-119,1950.0
Q25466090,Radjamin Nasution,1892-08-15,1957-02-10,8,15,2,10,23554,64.5,male,,179,1950.0
Q17411754,Zainuddin Hamidy,1907-02-08,1957-03-29,2,8,3,29,18312,50.1,male,,49,1950.0
Q16187798,Ki Sarmidi Mangunsarkoro,1904-05-23,1957-06-08,5,23,6,8,19374,53.0,male,,16,1950.0
Q75078039,Danoesoegondo,1876-08-21,1957-12-14,8,21,12,14,29699,81.3,male,,115,1950.0
Q97196745,Astrawinata,1917-12-28,1958-02-18,12,28,2,18,14662,40.1,male,,52,1950.0
Q2128765,Ismail Marzuki,1914-05-11,1958-05-25,5,11,5,25,16085,44.0,male,,14,1950.0
Q97306838,Jusuf Adiwinata,1900-09-23,1958-08-20,9,23,8,20,21150,57.9,male,,-34,1950.0
Q97240803,Jacob Bernadus Sitanala,1889-09-18,1958-08-30,9,18,8,30,25182,68.9,male,,-19,1950.0
Q4201183,Soepomo,1903-01-22,1958-09-12,1,22,9,12,20322,55.6,male,,-132,1950.0
Q12470957,Ahmad Hassan,1887-12-31,1958-11-10,12,31,11,10,25881,70.9,male,,-51,1950.0
Q12516461,Subchi,1858-12-31,1959-04-06,12,31,4,6,36620,100.3,male,,96,1950.0
Q1815982,Ki Hajar Dewantara,1889-05-02,1959-04-28,5,2,4,28,25562,70.0,male,,-4,1950.0
Q12503073,Parada Harahap,1899-12-15,1959-05-11,12,15,5,11,21696,59.4,male,,147,1950.0
Q1401053,Abdul Muis,1883-07-03,1959-06-17,7,3,6,17,27742,76.0,male,,-16,1950.0
Q508208,Herman Zomers,1912-11-19,1959-06-19,11,19,6,19,17013,46.6,male,,-153,1950.0
Q25469927,Udjang,1904-12-23,1959-09-23,12,23,9,23,19997,54.7,,,-91,1950.0
Q12710100,Soerjopranoto,1871-01-11,1959-10-15,1,11,10,15,32418,88.8,male,,-88,1950.0
Q85909204,Soetomo Djauhar Arifin,1916-06-15,1959-10-16,6,15,10,16,15828,43.3,male,,123,1950.0
Q16184899,Johannes Latuharhary,1900-07-06,1959-11-08,7,6,11,8,21674,59.3,male,,125,1950.0
Q12515778,Soeratin Sosrosoegondo,1898-12-17,1959-12-01,12,17,12,1,22263,61.0,male,,-16,1950.0
Q20668260,Joop Warouw,1917-09-08,1960-10-15,9,8,10,15,15743,43.1,male,,37,1960.0
Q12485983,Hoesein Djajadiningrat,1886-12-08,1960-11-12,12,8,11,12,27002,73.9,male,,-26,1960.0
Q12507525,R.M. Suwandi,1904-12-25,1960-12-25,12,25,12,25,20454,56.0,male,,0,1960.0
Q109563780,Abdul Kadir,1906-06-06,1961-01-21,6,6,1,21,19953,54.6,male,,-136,1960.0
Q61714810,Koesmoemadi Poedjosewojo,1912-10-06,1961-02-07,10,6,2,7,17656,48.3,male,,124,1960.0
Q97307417,Gusti Sholihin,1925-06-07,1961-02-15,6,7,2,15,13037,35.7,male,,-112,1960.0
Q26855338,Lies Noor,1933-07-12,1961-03-14,7,12,3,14,10107,27.7,female,,-120,1960.0
Q19746108,Frits Laoh,1888-12-25,1961-06-18,12,25,6,18,26472,72.5,male,,175,1960.0
Q4198008,Sekarmadji Maridjan Kartosuwirjo,1905-01-07,1961-09-05,1,7,9,5,20695,56.7,male,,-124,1960.0
Q19942211,Abdul Hakim,1905-07-15,1961-10-07,7,15,10,7,20538,56.2,male,,84,1960.0
Q4754513,Andjar Asmara,1902-02-26,1961-10-20,2,26,10,20,21786,59.6,male,,-129,1960.0
Q85994435,Soedjono Prawirosoedarso,1875-04-15,1961-10-25,4,15,10,25,31604,86.5,male,,-172,1960.0
Q109439739,Kretarto,1913-01-16,1961-10-26,1,16,10,26,17815,48.8,,,-82,1960.0
Q12494803,Lie Eng Hok,1893-02-07,1961-12-27,2,7,12,27,25159,68.9,male,,-42,1960.0
Q3738184,Yos Sudarso,1925-11-24,1962-01-15,11,24,1,15,13201,36.1,male,,52,1960.0
Q134524097,Wiratno,1926-02-28,1962-01-15,2,28,1,15,13105,35.9,,,-44,1960.0
Q17410497,Soesalit Djojoadhiningrat,1904-09-13,1962-03-17,9,13,3,17,21004,57.5,male,,-180,1960.0
Q19746044,Ki Ageng Suryomentaram,1892-05-20,1962-03-18,5,20,3,18,25503,69.8,male,,-63,1960.0
Q6111441,Jack Brown,1899-03-19,1962-04-09,3,19,4,9,23031,63.1,male,,21,1960.0
Q12470553,Abdul Halim,1887-06-26,1962-05-07,6,26,5,7,27343,74.9,male,,-50,1960.0
Q5261540,Gatot Soebroto,1907-10-10,1962-06-11,10,10,6,11,19968,54.7,male,,-121,1960.0
Q11188587,Ferdinand Lumban Tobing,1899-02-19,1962-10-07,2,19,10,7,23240,63.6,male,,-135,1960.0
Q3503054,Muhammad Yamin,1903-08-24,1962-10-17,8,24,10,17,21604,59.1,male,,54,1960.0
Q12517001,Sukarjo Wiryopranoto,1903-06-05,1962-10-23,6,5,10,23,21690,59.4,male,,140,1960.0
Q16172202,Chailan Syamsu,1905-04-06,1962-11-23,4,6,11,23,21050,57.6,female,,-134,1960.0
Q149730,Njoo Cheong Seng,1902-11-06,1962-11-30,11,6,11,30,21939,60.1,male,,24,1960.0
Q12525401,Zainul Arifin,1909-09-02,1963-03-02,9,2,3,2,19539,53.5,male,,181,1960.0
Q115919870,Zain Djambek,1908-08-05,1963-05-27,8,5,5,27,20018,54.8,male,,-70,1960.0
Q47007469,Abdul Latif Syakur,1882-08-15,1963-06-13,8,15,6,13,29521,80.8,male,,-63,1960.0
Q16174872,Djaga Depari,1922-05-05,1963-07-15,5,5,7,15,15046,41.2,male,,71,1960.0
Q2367341,Albertus Soegijapranata,1896-11-25,1963-07-22,11,25,7,22,24344,66.7,male,,-126,1960.0
Q105318450,Sauti,1903-05-16,1963-08-21,5,16,8,21,22012,60.3,male,,97,1960.0
Q2670453,Djuanda Kartawidjaja,1911-01-14,1963-11-07,1,14,11,7,19290,52.8,male,,-68,1960.0
Q7399523,Sahardjo,1909-06-26,1963-11-13,6,26,11,13,19863,54.4,male,,140,1960.0
Q89249661,Hilman Djajadiningrat,1896-02-28,1963-11-25,2,28,11,25,24741,67.7,male,,-95,1960.0
Q104887328,Reksodiwiryo Wiyotoarjo,1910-07-01,1964-01-21,7,1,1,21,19562,53.6,male,,-162,1960.0
Q17410991,Rakutta Sembiring Brahmana,1914-08-04,1964-01-28,8,4,1,28,18074,49.5,male,,176,1960.0
Q105069859,Machmud Singgirai Rumagesan,1885-12-27,1964-07-05,12,27,7,5,28679,78.5,male,,-175,1960.0
Q7207401,Poerbatjaraka,1884-01-01,1964-07-25,1,1,7,25,29425,80.6,male,,-159,1960.0
Q20426447,Djalaludin Tantu,1924-05-27,1964-09-02,5,27,9,2,14708,40.3,,,98,1960.0
Q123058329,Ahmad Zainun Palindih,1915-09-23,1964-10-09,9,23,10,9,17914,49.0,male,,16,1960.0
Q16161980,A. Roesma,1896-06-13,1964-10-25,6,13,10,25,24970,68.4,male,,134,1960.0
Q12485003,H. C. P. de Vos,1883-11-24,1964-11-26,11,24,11,26,29587,81.0,male,,2,1960.0
Q7553525,Soeprapto,1894-03-27,1964-12-02,3,27,12,2,25817,70.7,male,,-115,1960.0
Q3569429,Wiranatakusumah V,1888-11-28,1965-01-22,11,28,1,22,27813,76.1,male,,55,1960.0
Q4665459,Abdul Kahar Muzakkar,1920-03-24,1965-02-03,3,24,2,3,16387,44.9,male,,-49,1960.0
Q12472018,Andi Djemma,1901-01-15,1965-02-23,1,15,2,23,23415,64.1,male,,39,1960.0
Q12486189,Ibnu Hadjar,1920-04-19,1965-03-22,4,19,3,22,16408,44.9,male,,-28,1960.0
Q123501017,Willem Johannes Latumeten,1916-04-16,1965-03-23,4,16,3,23,17873,48.9,male,,-24,1960.0
Q12482480,Endang Kusdiningsih,1937-07-23,1965-07-01,7,23,7,1,10205,27.9,female,,-22,1960.0
Q24284623,Atang Sendjaja,1928-03-17,1965-07-28,3,17,7,28,13647,37.4,male,,133,1960.0
Q123908477,Mohammad Amin,1901-06-03,1965-08-31,6,3,8,31,23465,64.2,male,,89,1960.0
Q7635139,Sugiyono Mangunwiyoto,1926-08-12,1965-10-01,8,12,10,1,14295,39.1,male,,50,1960.0
Q4250996,Donald Izacus Pandjaitan,1925-06-09,1965-10-01,6,9,10,1,14724,40.3,male,,114,1960.0
Q4201513,Sutoyo Siswomiharjo,1922-08-28,1965-10-01,8,28,10,1,15740,43.1,male,,34,1960.0
Q6375087,Katamso Darmokusumo,1923-02-05,1965-10-01,2,5,10,1,15579,42.7,male,,-127,1960.0
Q12489624,Karel Satsuit Tubun,1928-10-14,1965-10-01,10,14,10,1,13501,37.0,male,,-13,1960.0
Q2603608,M. T. Haryono,1924-01-20,1965-10-01,1,20,10,1,15230,41.7,male,,-111,1960.0
Q2605059,Soeprapto,1920-06-20,1965-10-01,6,20,10,1,16539,45.3,male,,103,1960.0
Q2603618,Siswondo Parman,1918-08-04,1965-10-01,8,4,10,1,17225,47.2,male,,58,1960.0
Q2992817,Ahmad Yani,1922-06-19,1965-10-01,6,19,10,1,15810,43.3,male,,104,1960.0
Q2603600,Pierre Tendean,1939-02-21,1965-10-01,2,21,10,1,9719,26.6,male,,-143,1960.0
Q12470697,Ade Irma Suryani Nasution,1960-02-19,1965-10-06,2,19,10,6,2056,5.6,female,,-136,1960.0
Q7295346,Rasuna Said,1910-09-14,1965-11-02,9,14,11,2,20138,55.1,female,,49,1960.0
Q558979,Dipa Nusantara Aidit,1923-07-30,1965-11-22,7,30,11,22,15456,42.3,male,,115,1960.0
Q64022062,Aw Tjoei Lan,1889-02-17,1965-12-19,2,17,12,19,28063,76.8,female,,-60,1960.0
Q16180339,Hasanuddin HM,1945-12-28,1966-02-10,12,28,2,10,7349,20.1,male,,44,1960.0
Q12472457,Arif Rahman Hakim,1943-02-24,1966-02-24,2,24,2,24,8401,23.0,male,,0,1960.0
Q125523686,Muhammad Kamil,1910-07-15,1966-03-12,7,15,3,12,20329,55.7,,,-125,1960.0
Q12501032,Nurtanio Pringgoadisuryo,1923-12-03,1966-03-21,12,3,3,21,15449,42.3,male,,108,1960.0
Q41187530,Ihwan Ridwan Rais,1951-08-05,1966-03-30,8,5,3,30,5351,14.7,male,,-128,1960.0
Q2470857,Sutan Sjahrir,1909-03-05,1966-04-09,3,5,4,9,20854,57.1,male,,35,1960.0
Q2751708,Chris Soumokil,1905-10-13,1966-04-12,10,13,4,12,22096,60.5,male,,181,1960.0
Q123502759,Ahmad Zaini,1889-11-11,1966-04-17,11,11,4,17,27915,76.4,male,,157,1960.0
Q12487263,Jan Klopper,1878-07-17,1966-04-19,7,17,4,19,32052,87.8,male,,-89,1960.0
Q130350969,Sjofjan Rassat,1892-10-23,1966-05-04,10,23,5,4,26855,73.5,male,,-172,1960.0
Q17411466,Titien Sumarni,1935-12-28,1966-05-13,12,28,5,13,11094,30.4,female,,136,1960.0
Q12499380,Muhammad Saleh Werdisastro,1908-02-15,1966-05-14,2,15,5,14,21273,58.2,male,,88,1960.0
Q25471317,Sulaiman,1926-04-23,1966-06-08,4,23,6,8,14656,40.1,male,,46,1960.0
Q12511848,Samiati Alisjahbana,1930-03-15,1966-08-15,3,15,8,15,13302,36.4,female,,153,1960.0
Q16188356,Lukman Hakim,1914-06-06,1966-08-20,6,6,8,20,19068,52.2,male,,75,1960.0
Q5928807,Raden Eddy Martadinata,1921-03-29,1966-10-06,3,29,10,6,16627,45.5,male,,-174,1960.0
Q95698344,Marie Thomas,1896-02-17,1966-10-10,2,17,10,10,25802,70.6,female,,-130,1960.0
Q12494807,Lie Oen Hock,1904-12-13,1966-11-05,12,13,11,5,22607,61.9,male,,-38,1960.0
Q12499383,Muhammad Sjafei,1896-01-21,1966-11-11,1,21,11,11,25861,70.8,male,,-71,1960.0
Q136449896,Djoko Susilo,1945-12-25,1966-11-12,12,25,11,12,7627,20.9,,,-43,1960.0
Q4250939,Djamaluddin Adinegoro,1904-08-14,1967-01-08,8,14,1,8,22792,62.4,male,,147,1960.0
Q25464863,T. Jusuf Muda Dalam,1914-12-01,1967-02-08,12,1,2,8,19062,52.2,male,,69,1960.0
Q5068118,Chairul Saleh,1916-09-13,1967-02-08,9,13,2,8,18410,50.4,male,,148,1960.0
Q17410502,Nicolaus Driyarkara,1913-06-13,1967-02-11,6,13,2,11,19601,53.7,male,,-122,1960.0
